Datum;Tag;  Uhrzeit  ;Seminargruppe;Prüfer;Fach
14. Feb;Di;15:30-17:00;EI17w1-B, IM16-B, IN17-B, LT17w1-B, MB17-B, ME17-B, OM17w1-Z;J. Ruck;Informatik
14. Feb;Di;10:30-12:00;MM16wS-B;A. Schneider;Sport, Medien und Gesellschaft
14. Feb;Di;13:00-14:30;FM16w1-B, FM16w2-B;R. Hummelsheim, P. Wagner;Immobilienbestandsmanagement
14. Feb;Di;10:30-12:00;BW17w1-M;T. Meier;Planungs- und Entscheidungsmethoden
15. Feb;Mi;10:30-12:00;WI13-D, WI14-D, WI15-D;B. Blum, S. Nickel;Fachenglisch
15. Feb;Mi;10:30-12:00;EU16wU-B;M. Decker, W. Vonau;Analytik
15. Feb;Mi;10:30-12:00;BW17w1-B;K. Walther-Reining;Grundlagen des Rechts
15. Feb;Mi;13:00-14:30;BW16w1-M;B. Riedl;Unternehmensnachfolge
15. Feb;Mi;15:30-16:15;WI17w1-D;M. Wüst;Grundlagen der VWL-Mikroökonomie
15. Feb;Mi;08:00-10:00;FM15w1-B, FM15w2-B, FM15w3-B;S. Kluge, L. Melzner;Grundlagen der Immobilienbewertung
16. Feb;Do;08:00-09:30;BT15-B, BT1-B, BT17-B, EU15-B, EU16-B, EU17-B, LT15-B, LT16-B;M. Vieweg, S. Sommerfeld;Chemie
16. Feb;Do;13:00-15:30;FM17w1-B;H. Artmeyer;Allgemeines Immobilienvertragsrecht
16. Feb;Do;08:00-10:00;EI17w1-B, IM16w1-B, MI17w1-B, MI17w2-B;A. Horn;Physikalische Grundlagen
16. Feb;Do;09:00-12:00;BW15w1-B, BW15w2-B, BW15w3-B;S. Velesco;Internationales Management: Teilprüfung 1
16. Feb;Do;15:30-17:00;BW16w1-B;M. Wüst;Makroökonomie
16. Feb;Do;08:00-09:30;FM16w1-B;B. Gaier, S. Salomon;Datenbank-Anwendung
16. Feb;Do;15:30-17:00;EI15wM-B, WI16w1-D, WI16w2-D;J. Hübler;Konstruktion
17. Feb;Fr;10:30-12:00;BW16w1-B;M. Wüst;Mikroökonomie
